Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Boundary,Washington,3015,US-Canada Border,Apr 2025,Truck Containers Empty,4,49.001,-117.628,POINT (-117.627583 49.00075)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Bus Passengers,1375,42.999,-82.424,POINT (-82.423611 42.998611)
Presidio,Texas,2403,US-Mexico Border,Apr 2025,Trucks,971,29.562,-104.395,POINT (-104.394907 29.561827)
Dalton Cache,Alaska,3106,US-Canada Border,Apr 2025,Truck Containers Loaded,16,59.451,-136.362,POINT (-136.361944 59.450556)
Pinecreek,Minnesota,3425,US-Canada Border,Apr 2025,Truck Containers Loaded,4,49.0,-95.978,POINT (-95.977694 48.999916)
Van Buren,Maine,108,US-Canada Border,Apr 2025,Truck Containers Loaded,1328,47.16,-67.931,POINT (-67.930799 47.159645)
Otay Mesa,California,2506,US-Mexico Border,Apr 2025,Pedestrians,277361,32.55,-116.939,POINT (-116.938538 32.55033)
Trout River,New York,715,US-Canada Border,Apr 2025,Train Passengers,96,44.992,-74.308,POINT (-74.308172 44.992058)
Wildhorse,Montana,3323,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1033,48.999,-110.215,POINT (-110.215083 48.999361)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Buses,2423,27.5,-99.507,POINT (-99.507412 27.499561)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Train Passengers,586,42.999,-82.424,POINT (-82.423611 42.998611)
Del Bonita,Montana,3322,US-Canada Border,Apr 2025,Trucks,32,48.999,-112.788,POINT (-112.78825 48.998555)
Sumas,Washington,3009,US-Canada Border,Apr 2025,Truck Containers Loaded,13699,49.002,-122.265,POINT (-122.264805 49.002388)
Detroit,Michigan,3801,US-Canada Border,Apr 2025,Trains,144,42.332,-83.048,POINT (-83.047924 42.331685)
Morgan,Montana,3319,US-Canada Border,Apr 2025,Trucks,18,49.0,-107.832,POINT (-107.831819 48.999829)
Douglas,Arizona,2601,US-Mexico Border,Apr 2025,Trucks,2185,31.334,-109.56,POINT (-109.560344 31.334043)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Rail Containers Empty,10568,48.994,-122.749,POINT (-122.748884 48.994045)
Van Buren,Maine,108,US-Canada Border,Apr 2025,Personal Vehicles,5449,47.16,-67.931,POINT (-67.930799 47.159645)
Nighthawk,Washington,3011,US-Canada Border,Apr 2025,Personal Vehicle Passengers,391,49.0,-119.671,POINT (-119.67103 49.000144)
Baudette,Minnesota,3424,US-Canada Border,Apr 2025,Buses,1,48.719,-94.59,POINT (-94.590467 48.719109)
Hidalgo,Texas,2305,US-Mexico Border,Apr 2025,Trucks,59105,26.095,-98.271,POINT (-98.271092 26.095032)
Houlton,Maine,106,US-Canada Border,Apr 2025,Personal Vehicles,7365,46.135,-67.781,POINT (-67.781288 46.134879)
Jackman,Maine,104,US-Canada Border,Apr 2025,Personal Vehicles,5477,45.806,-70.397,POINT (-70.396722 45.805661)
Richford,Vermont,203,US-Canada Border,Apr 2025,Personal Vehicle Passengers,5922,45.012,-72.589,POINT (-72.588559 45.01174)
Northgate,North Dakota,3406,US-Canada Border,Apr 2025,Personal Vehicles,421,48.999,-102.275,POINT (-102.27475 48.998833)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Buses,644,48.994,-122.749,POINT (-122.748884 48.994045)
Baudette,Minnesota,3424,US-Canada Border,Apr 2025,Bus Passengers,30,48.719,-94.59,POINT (-94.590467 48.719109)
Skagway,Alaska,3103,US-Canada Border,Apr 2025,Personal Vehicle Passengers,3403,59.63,-135.164,POINT (-135.164444 59.629722)
Frontier,Washington,3020,US-Canada Border,Apr 2025,Bus Passengers,208,49.0,-117.832,POINT (-117.831527 49.0005)
Massena,New York,704,US-Canada Border,Apr 2025,Personal Vehicles,65770,44.991,-74.74,POINT (-74.739722 44.990556)
Boundary,Washington,3015,US-Canada Border,Apr 2025,Rail Containers Empty,453,49.001,-117.628,POINT (-117.627583 49.00075)
Vanceboro,Maine,105,US-Canada Border,Apr 2025,Truck Containers Loaded,12,45.569,-67.429,POINT (-67.428541 45.568761)
Ambrose,North Dakota,3410,US-Canada Border,Apr 2025,Personal Vehicle Passengers,90,48.999,-103.487,POINT (-103.486555 48.999305)
Richford,Vermont,203,US-Canada Border,Apr 2025,Trains,13,45.012,-72.589,POINT (-72.588559 45.01174)
Douglas,Arizona,2601,US-Mexico Border,Apr 2025,Truck Containers Loaded,2193,31.334,-109.56,POINT (-109.560344 31.334043)
Vanceboro,Maine,105,US-Canada Border,Apr 2025,Rail Containers Empty,1905,45.569,-67.429,POINT (-67.428541 45.568761)
Lukeville,Arizona,2602,US-Mexico Border,Apr 2025,Personal Vehicles,32334,31.88,-112.817,POINT (-112.817077 31.880195)
Point Roberts,Washington,3017,US-Canada Border,Apr 2025,Pedestrians,391,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Trains,24,32.673,-115.388,POINT (-115.388018 32.673389)
Roma,Texas,2310,US-Mexico Border,Apr 2025,Trucks,4048,26.404,-99.019,POINT (-99.018981 26.403928)
Sarles,North Dakota,3409,US-Canada Border,Apr 2025,Personal Vehicle Passengers,221,49.0,-98.938,POINT (-98.938361 49.000027)
Trout River,New York,715,US-Canada Border,Apr 2025,Trucks,720,44.992,-74.308,POINT (-74.308172 44.992058)
Wildhorse,Montana,3323,US-Canada Border,Apr 2025,Trucks,9,48.999,-110.215,POINT (-110.215083 48.999361)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Train Passengers,1888,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Personal Vehicles,427073,27.5,-99.507,POINT (-99.507412 27.499561)
Laurier,Washington,3016,US-Canada Border,Apr 2025,Train Passengers,4,49.0,-118.224,POINT (-118.223777 49.000083)
Eagle Pass,Texas,2303,US-Mexico Border,Apr 2025,Rail Containers Empty,16761,28.705,-100.512,POINT (-100.511977 28.705483)
Port Huron,Michigan,3802,US-Canada Border,Apr 2025,Trucks,88560,42.999,-82.424,POINT (-82.423611 42.998611)
Opheim,Montana,3317,US-Canada Border,Apr 2025,Bus Passengers,1,49.0,-106.378,POINT (-106.377583 48.999527)
Del Rio,Texas,2302,US-Mexico Border,Apr 2025,Truck Containers Empty,2136,29.327,-100.928,POINT (-100.927612 29.326784)
Raymond,Montana,3301,US-Canada Border,Apr 2025,Pedestrians,61,48.999,-104.574,POINT (-104.574333 48.999194)
Scobey,Montana,3309,US-Canada Border,Apr 2025,Personal Vehicle Passengers,500,49.0,-105.408,POINT (-105.407638 48.999527)
Dunseith,North Dakota,3422,US-Canada Border,Apr 2025,Truck Containers Loaded,2126,48.999,-100.052,POINT (-100.052166 48.999277)
Antler,North Dakota,3413,US-Canada Border,Apr 2025,Personal Vehicles,483,48.999,-101.296,POINT (-101.296055 48.999472)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Pedestrians,280390,31.333,-110.943,POINT (-110.942516 31.332839)
Blaine,Washington,3004,US-Canada Border,Apr 2025,Truck Containers Empty,10148,48.994,-122.749,POINT (-122.748884 48.994045)
Calais,Maine,115,US-Canada Border,Apr 2025,Rail Containers Empty,90,45.189,-67.275,POINT (-67.275381 45.188548)
Santa Teresa,New Mexico,2408,US-Mexico Border,Apr 2025,Buses,57,31.784,-106.679,POINT (-106.679437 31.783939)
Hidalgo,Texas,2305,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,630416,26.095,-98.271,POINT (-98.271092 26.095032)
Nighthawk,Washington,3011,US-Canada Border,Apr 2025,Pedestrians,5,49.0,-119.671,POINT (-119.67103 49.000144)
Jackman,Maine,104,US-Canada Border,Apr 2025,Truck Containers Empty,2955,45.806,-70.397,POINT (-70.396722 45.805661)
Del Bonita,Montana,3322,US-Canada Border,Apr 2025,Truck Containers Loaded,22,48.999,-112.788,POINT (-112.78825 48.998555)
El Paso,Texas,2402,US-Mexico Border,Apr 2025,Trucks,13047,31.764,-106.451,POINT (-106.451188 31.764363)
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Buses,189,45.015,-73.085,POINT (-73.085037 45.015414)
Norton,Vermont,211,US-Canada Border,Apr 2025,Trains,10,45.011,-71.793,POINT (-71.793219 45.010771)
Boundary,Washington,3015,US-Canada Border,Apr 2025,Truck Containers Loaded,35,49.001,-117.628,POINT (-117.627583 49.00075)
International Falls,Minnesota,3604,US-Canada Border,Apr 2025,Trucks,1096,48.608,-93.401,POINT (-93.401355 48.6078)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Pedestrians,7050,43.095,-79.056,POINT (-79.055847 43.09549)
Frontier,Washington,3020,US-Canada Border,Apr 2025,Truck Containers Loaded,1460,49.0,-117.832,POINT (-117.831527 49.0005)
Baudette,Minnesota,3424,US-Canada Border,Apr 2025,Truck Containers Empty,131,48.719,-94.59,POINT (-94.590467 48.719109)
Eastport,Maine,103,US-Canada Border,Apr 2025,Trucks,163,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Otay Mesa,California,2506,US-Mexico Border,Apr 2025,Rail Containers Empty,300,32.55,-116.939,POINT (-116.938538 32.55033)
Piegan,Montana,3316,US-Canada Border,Apr 2025,Pedestrians,237,48.998,-113.379,POINT (-113.378777 48.998083)
Derby Line,Vermont,209,US-Canada Border,Apr 2025,Truck Containers Empty,916,45.006,-72.099,POINT (-72.099279 45.005739)
Ysleta,Texas,2401,US-Mexico Border,Apr 2025,Personal Vehicles,316853,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Douglas,Arizona,2601,US-Mexico Border,Apr 2025,Bus Passengers,395,31.334,-109.56,POINT (-109.560344 31.334043)
Roosville,Montana,3318,US-Canada Border,Apr 2025,Truck Containers Loaded,972,49.0,-115.056,POINT (-115.056027 48.999638)
Northgate,North Dakota,3406,US-Canada Border,Apr 2025,Trucks,262,48.999,-102.275,POINT (-102.27475 48.998833)
Jackman,Maine,104,US-Canada Border,Apr 2025,Rail Containers Empty,3774,45.806,-70.397,POINT (-70.396722 45.805661)
Madawaska,Maine,109,US-Canada Border,Apr 2025,Personal Vehicle Passengers,23306,47.36,-68.329,POINT (-68.328684 47.360052)
Sarles,North Dakota,3409,US-Canada Border,Apr 2025,Trucks,21,49.0,-98.938,POINT (-98.938361 49.000027)
Eastport,Maine,103,US-Canada Border,Apr 2025,Pedestrians,1,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Sherwood,North Dakota,3414,US-Canada Border,Apr 2025,Truck Containers Empty,243,48.999,-101.628,POINT (-101.627527 48.999305)
Fortuna,North Dakota,3417,US-Canada Border,Apr 2025,Truck Containers Empty,58,49.0,-103.809,POINT (-103.80925 48.999555)
Pembina,North Dakota,3401,US-Canada Border,Apr 2025,Rail Containers Empty,1603,49.0,-97.237,POINT (-97.237036 49.000453)
Calexico East,California,2507,US-Mexico Border,Apr 2025,Personal Vehicles,226806,32.673,-115.388,POINT (-115.388018 32.673389)
Fort Fairfield,Maine,107,US-Canada Border,Apr 2025,Truck Containers Empty,218,46.765,-67.789,POINT (-67.789471 46.765323)
Champlain Rouses Point,New York,712,US-Canada Border,Apr 2025,Personal Vehicle Passengers,102876,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Personal Vehicles,3485,48.999,-102.552,POINT (-102.551944 48.998944)
Laredo,Texas,2304,US-Mexico Border,Apr 2025,Truck Containers Empty,64582,27.5,-99.507,POINT (-99.507412 27.499561)
Rio Grande City,Texas,2307,US-Mexico Border,Apr 2025,Pedestrians,7797,26.366,-98.803,POINT (-98.802513 26.365761)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Trains,139,43.095,-79.056,POINT (-79.055847 43.09549)
Laurier,Washington,3016,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1633,49.0,-118.224,POINT (-118.223777 49.000083)
Otay Mesa,California,2506,US-Mexico Border,Apr 2025,Trucks,80882,32.55,-116.939,POINT (-116.938538 32.55033)
San Luis,Arizona,2608,US-Mexico Border,Apr 2025,Personal Vehicles,285754,32.485,-114.782,POINT (-114.7822222 32.485)
Danville,Washington,3012,US-Canada Border,Apr 2025,Truck Containers Loaded,14,49.0,-118.504,POINT (-118.503722 49.000083)
Metaline Falls,Washington,3025,US-Canada Border,Apr 2025,Personal Vehicles,1080,49.0,-117.299,POINT (-117.299444 48.999972)
Tecate,California,2505,US-Mexico Border,Apr 2025,Trucks,5125,32.576,-116.626,POINT (-116.626216 32.576428)
Hansboro,North Dakota,3415,US-Canada Border,Apr 2025,Trucks,7,49.0,-99.347,POINT (-99.346527 48.999583)
Bridgewater,Maine,127,US-Canada Border,Apr 2025,Personal Vehicles,1453,46.45,-67.785,POINT (-67.78484 46.450335)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Apr 2025,Trains,31,46.509,-84.361,POINT (-84.360833 46.508611)
Tornillo,Texas,2404,US-Mexico Border,Apr 2025,Truck Containers Loaded,2375,31.435,-106.143,POINT (-106.142669 31.435334)
Warroad,Minnesota,3423,US-Canada Border,Apr 2025,Personal Vehicles,4949,48.999,-95.377,POINT (-95.376555 48.999)
El Paso,Texas,2402,US-Mexico Border,Apr 2025,Personal Vehicles,650066,31.764,-106.451,POINT (-106.451188 31.764363)
